textid	text	target
14	Mamwe madzimai anoti mapiritsi e kuronga mhuri avari kunwa ari kuvakonzeresa kutevera kwe nguva yakareba inosvika masvondo matatu izvo zvave kuita kuti vatizwe ne varume .	DET NOUN VERB NOUN ADP VERB NOUN AUX VERB AUX VERB VERB ADP NOUN ADJ ADV NOUN NUM DET AUX VERB DET VERB ADP NOUN PUNCT
15	Izvi zvakabuda ku mucheto kwe chirongwa che kuongorora madzimai gomarara re muromo we chibereko ku Mhangura mu kupera kwe svondo .	DET VERB ADP NOUN ADP NOUN ADP VERB NOUN NOUN ADP NOUN ADP NOUN ADP PROPN ADP VERB ADP NOUN PUNCT
16	Mamwe madzimai akaudza bazi rezve hutano kuti ave kutya kunwa mapiritsi e kuronga mhuri .	DET NOUN VERB NOUN ADP NOUN DET AUX VERB VERB NOUN ADP VERB NOUN PUNCT
17	Amai Jaquline Rwafa avo vanobva ku Makonde vanoti mapiritsi e kuronga mhuri ari kuvateveresa kwe nguva yakareba izvo zvave kuvarwarisa nekuti vari kubuda ropa rakawandisa .	NOUN PROPN PROPN DET VERB ADP PROPN VERB NOUN ADP VERB NOUN AUX VERB ADP NOUN ADJ DET AUX VERB SCONJ AUX VERB NOUN VERB PUNCT
18	Vanoti kutevera kwe nguva yakarebesa kunogona kupa kuti murume wavo atsvage mamwe madzimai .	VERB VERB ADP NOUN ADJ AUX VERB DET NOUN DET VERB DET NOUN PUNCT
19	Amai Mavis Guzuzu vanoti kunyange vakachinja mapiritsi , vari kuramba vachitevera kwe nguva yakareba .	NOUN PROPN PROPN VERB SCONJ VERB NOUN PUNCT AUX VERB VERB ADP NOUN ADJ PUNCT
20	Mukuru anoona nezve hutano hwe mhuri mubazi rezve hutano Dr Benard Madzima vanoti mapiritsi ose kana mishonga ine zvainokonzeresa mu muviri we munhu vachiti hazvishamise kuti mudzimai anotevera kwe nguva yakareba sezvo anenge arambwa ne mapiritsi kana mushonga .	NOUN ADJ ADP NOUN ADP NOUN NOUN ADP NOUN NOUN PROPN PROPN VERB NOUN DET CCONJ NOUN AUX ADV ADP NOUN ADP NOUN VERB VERB DET NOUN VERB ADP NOUN ADJ SCONJ AUX VERB ADV NOUN CCONJ NOUN PUNCT
21	Dr Madzima vakakurudzira madzimai kuti vadzokere ku kiriniki kana ku chipatara kwavanenge vakapihwa mapiritsi kuti vapihwa imwe mhando ye mapiritsi .	NOUN PROPN VERB NOUN DET VERB ADP NOUN CCONJ ADP NOUN AUX VERB NOUN DET VERB ADV NOUN ADP NOUN PUNCT
22	Mukoti mukuru ku Mhangura Amai Semetie Munikwa vanoti kana mudzimai akatevera kwe nguva inosvika mazuva manomwe amwa mapiritsi e kuronga mhuri anofanirwa kuenda ku chipatara kunovhenekkwa pachena .	NOUN ADJ ADP PROPN NOUN PROPN PROPN VERB SCONJ NOUN VERB ADP NOUN ADV NOUN NUM VERB NOUN ADP VERB NOUN VERB VERB ADP NOUN VERB ADV PUNCT
23	Imwe nyaya yakabuda yanga iri ye kushaikwa kwe mapiritsi e kuronga mhuri izvo zviri kukonzera kuti mamwe madzimai e mudunhu re Mashonaland West atenge mapiritsi e kuronga mhuri ku Zambia .	DET NOUN VERB AUX AUX ADP VERB ADP NOUN ADP VERB NOUN ADV AUX VERB DET ADJ NOUN ADP NOUN ADP PROPN NOUN VERB NOUN ADP VERB NOUN ADP PROPN PUNCT
24	Va Madzima vabvuma kuti mu nyika mune dambudziko re kushaikwa kwe mapiritsi e kuronga mhuri asi vanoti izvi zvinokonzerwa ne kusaendeswa kwe mapiritsi ku makiriniki ne nguva .	NOUN PROPN VERB DET ADP NOUN AUX NOUN ADP VERB ADP NOUN ADP VERB NOUN SCONJ VERB DET VERB ADV VERB ADP NOUN ADP NOUN ADP NOUN PUNCT
25	Ongororo yakaitwa ne Studio 7 mwedzi mishoma yapfuura inoratidza kuti mamwe madzimai ari kunotengesa mapiritsi e kuronga mhuri ku South Africa neku Botswana .	NOUN VERB ADP NOUN NUM NOUN ADJ VERB VERB DET ADJ NOUN AUX VERB NOUN ADP VERB NOUN ADP PROPN PROPN CCONJ PROPN PUNCT
26	Pakiti re mapiritsi anombopihwa pachena inotengeswa ne maRanzi zana ne makumi mashanu .	NOUN ADP NOUN VERB ADJ VERB ADV PROPN NUM CCONJ NUM NUM PUNCT
27	Sangano rana chiremba vanorwira kodzero dze vanhu , re Zimbabwe Association of Doctors for Human Rights rinoti kunyange hazvo hurumende ichiti chirwere che manyoka che Typhoid chadzikira , humbowo hunoratidza kuti chirwere ichi chakateshera mu guta re Harare ne nzvimbo zhinji munyika .	NOUN ADP NOUN ADJ NOUN ADP NOUN PUNCT ADP PROPN NOUN ADP NOUN ADP NOUN NOUN VERB SCONJ SCONJ NOUN VERB NOUN ADP NOUN ADP PROPN VERB PUNCT NOUN VERB SCONJ NOUN DET VERB ADP NOUN ADP PROPN CCONJ NOUN ADJ NOUN PUNCT
28	Vachitaura mushure mekuenda ku chipatara che Beatrice Infectious Hospital mu Harare uko kuri kurapwa vanhu vanofungidzirwa kuti vane typhoid , gurukota rinoona nezve hutano Dr David Parirenyatwa vakati kanzuru ye guta re Harare pamwe ne bazi ravo vakamisa kupararira kwe chirwere ichi .	VERB ADP VERB ADP NOUN ADP PROPN ADJ NOUN ADP NOUN DET AUX VERB NOUN VERB DET AUX NOUN PUNCT NOUN VERB ADP NOUN NOUN PROPN PROPN VERB NOUN ADP NOUN ADP PROPN CCONJ CCONJ NOUN PRON VERB VERB ADP NOUN DET PUNCT
29	Vakati pa vanhu makumi mashanu vanofungidzirwa kuti vane typhoid ku chipatara ichi vazhinji vacho vaibva ku Mbare uko kwashaya mwana ane makore gumi ne matatu ne chirwere ichi musi we Kimusi .	VERB ADP NOUN NUM NUM VERB DET AUX PROPN ADP NOUN DET ADJ PRON VERB ADP PROPN DET VERB NOUN ADP NOUN NUM CCONJ NUM ADV NOUN DET NOUN ADP NOUN PUNCT
30	Asi munyori mukuru we Zimbabwe Association of Doctors for Human Rights Dr Evans Masitara vati pane vanhu vakawanda zvikuru vari kubatwa ne Typhoid mu Harare nedzimwe nzvimbo mu nyika .	SCONJ NOUN ADJ ADP PROPN NOUN ADP NOUN ADP NOUN NOUN NOUN PROPN PROPN VERB AUX NOUN ADJ ADV AUX VERB ADP PROPN ADP PROPN CCONJ NOUN ADP NOUN PUNCT
31	Va Masitara vati vanhu vakawanda vari kuenda ku zvipatara zvakazvimirira uye vane humbowo hwekuti nyaya ye typhoid haizi kutaurwa nemazvo ne bazi rezve hutano .	NOUN PROPN VERB NOUN ADJ AUX VERB ADP NOUN ADJ CCONJ AUX NOUN DET NOUN ADP PROPN AUX VERB ADV ADP NOUN ADP NOUN PUNCT
32	Vanotiwo zvinosuwisa kuti vanhu vari kurwara ne chirwere chinokwanisa kudzivirirwa uyewo vati vese vari kubatwa ne zvirwere zve manyoka vanofanira kuendesa kanzuru ye Harare nedzimwe dziri munzvimbo dzavanogara ku matare kuti varapwe pachena vachiti makunzuru ndiwo ane basa re kuona kuti vanhu vawana mvura yakachena uyewo kuti marara atakurwa .	VERB ADJ DET NOUN AUX VERB ADP NOUN VERB VERB CCONJ VERB DET AUX VERB ADP NOUN ADP NOUN AUX VERB NOUN ADP PROPN SCONJ AUX NOUN VERB ADP NOUN DET VERB ADJ VERB NOUN PRON AUX NOUN ADP VERB DET NOUN VERB NOUN ADJ CCONJ DET NOUN VERB PUNCT
33	Asi mutauririri we kanzuru ye Harare , Va Michael Chideme vanoti kanzuru yavo iri kurapa vanhu vese vane zvirwere zve manyoka pachena .	SCONJ NOUN ADP NOUN ADP PROPN PUNCT NOUN PROPN PROPN VERB NOUN PRON AUX VERB NOUN DET AUX NOUN ADP NOUN ADJ PUNCT
34	Humbowo kubva ku bazi rezve hutano hunoratidzawo kuti mwedzi uno chete pane vanhu vanodarika zviuru gumi vakabatwa ne zvirwere zvemanyoka munyika yese uye pane vanhu vana vakatofa nekuda kwe zvirwere izvi mu nyika yese .	NOUN ADP ADP NOUN ADP NOUN VERB DET NOUN DET ADV AUX NOUN ADV NUM NUM VERB ADV NOUN ADJ NOUN DET CCONJ AUX NOUN ADJ VERB SCONJ ADP NOUN DET ADP NOUN DET PUNCT
35	Zvirwere izvi zvakwanda ku Mashonaland Central ne Manicaland kozotiwo Mashonaland West , Harare ne Bulawayo .	NOUN DET ADJ ADP PROPN NOUN CCONJ PROPN SCONJ PROPN NOUN PUNCT PROPN CCONJ PROPN PUNCT
36	Hurumende ye America nezuro yakatemerwa zvirango gurukota rezve vasori Va Owen Mudha Ncube zvirango ichivapomerwa mhosva dze kutyora kodzero dze vanhu .	NOUN ADP PROPN ADV VERB NOUN NOUN ADP NOUN NOUN PROPN PROPN PROPN NOUN VERB NOUN ADP VERB NOUN ADP NOUN PUNCT
37	Gurukota rezvekudyidzana ne dzimwe nyika mu America Va Mike Pompeo vakanyora pa dandemutande ravo re Twitter kuti vose vanotyora kodzero dze vanhu mu Zimbabwe vanofanira kurangwa .	NOUN ADJ ADP ADV NOUN ADP PROPN NOUN PROPN PROPN VERB ADP NOUN PRON ADP PROPN DET PRON VERB NOUN ADP NOUN ADP PROPN AUX VERB PUNCT
38	Zvirango izvi zvakauya musi mumwechetewo hurumende ye Zanu - PF ichangopedza kuratidzira munyika ichiti zvirango zvinofanira kubviswa .	NOUN DET VERB NOUN ADJ NOUN ADP PROPN SYM PROPN VERB VERB NOUN VERB NOUN AUX VERB PUNCT
39	Asi vanhu vashoma shoma zvikuru ndivo vakateerera kurudziro yekuti varatidzire .	SCONJ NOUN ADJ ADJ ADV AUX VERB VERB ADP VERB PUNCT
40	Asi hurumende yakawana mashoko e rutsigiro kubva ku African Union ne nyika dzemu SADC .	SCONJ NOUN VERB NOUN ADP VERB ADP ADP PROPN NOUN CCONJ NOUN ADP PROPN PUNCT
41	Sachigaro we AU Commission Va Moussa Faki vakaburitsa mashoko ku vatori ve nhau vachiti sangano ravo rinoda kuti zvirango zvibviswe sezvakataurwa ne SADC .	NOUN ADP PROPN NOUN NOUN PROPN PROPN VERB NOUN ADP ADJ ADP NOUN VERB NOUN PRON VERB DET NOUN VERB SCONJ ADP PROPN PUNCT
42	Asi sachigaro we komiti inoona nezve kudyidzana ne dzimwe nyika mu dare resonate mu America Va Jim Risch vakaburitsa mashoko kuvatori ve nhau vachiti hurumende ye mutungamiri we nyika Va Emmerson Mnangagwa iri kuda kuhwanda nemunwe ichiti zvirango ndizvo zvapa kuti nyika iende ku mawere asi kuri kutadza kutungamira .	SCONJ NOUN ADP NOUN ADJ ADP VERB ADP ADV NOUN AUX NOUN VERB ADP PROPN NOUN PROPN PROPN VERB NOUN NOUN ADP NOUN VERB NOUN ADP NOUN ADP NOUN NOUN PROPN PROPN AUX VERB VERB NOUN VERB NOUN AUX VERB DET NOUN AUX NOUN NOUN SCONJ AUX VERB VERB PUNCT
43	Va Risch vanoti pane kuratidzira , hurumende inofanira kuvandudza zvinhu zvinopa kuti vanhu vayo vagare zvakanaka .	NOUN PROPN VERB ADP NOUN PUNCT NOUN AUX VERB NOUN VERB DET NOUN PRON VERB ADJ PUNCT
44	Vati America haingotemere vanhu vasina zvavaita zvirango .	VERB PROPN AUX NOUN AUX VERB NOUN PUNCT
45	Mutevedzeri we gurukota rezvekuburitswa kwe mashoko Va Energy Mutodi vashora kutemerwa kwa Va Ncube zvirango vachiti America haina kufara nekutora kwavakaita minda .	NOUN ADP NOUN ADJ ADP NOUN NOUN PROPN PROPN VERB VERB ADP NOUN PROPN NOUN VERB PROPN AUX VERB ADV VERB NOUN PUNCT
46	Munyori anoona nezve kudyidzana ne dzimwe nyika mubato re MDC Muzvare Gladys Hlatywayo vanoti zvekufora hazvishande kana Zimbabwe isiri kuremekedza kodzero dze vanhu .	NOUN VERB ADP VERB ADP ADV NOUN NOUN ADP PROPN NOUN PROPN PROPN VERB VERB NOUN CCONJ PROPN AUX VERB NOUN ADP NOUN PUNCT
47	Chirwere che korera chauraya vanhu vanosvika makumi mana ne vashanu , makumi mana ne vatatu vari vemu Harare chete .	NOUN ADP NOUN VERB NOUN ADV NUM NUM CCONJ NUM PUNCT NUM NUM CCONJ NUM AUX ADP PROPN ADV PUNCT
48	Vamwe vaviri vakashaika ku Masvingo neku Manicaland kunyange hazvo vakange vabva kuguta guru re Harare kwavakatangira kurwara .	DET NUM VERB ADP PROPN ADP PROPN SCONJ SCONJ AUX VERB NOUN ADJ ADP PROPN VERB VERB PUNCT
49	Nyanzvi mu zvirwere zvinotapurirana mu bazi re hutano , Dr Portia Manhangazira , vanoti vari kufara ne huwandu hwe masangano e munyika ne kunze ari kubatana ne hurumende mukurwisa dambudziko iri .	NOUN ADP NOUN VERB ADP NOUN ADP NOUN PUNCT NOUN PROPN PROPN PUNCT VERB AUX VERB ADP ADV ADP NOUN ADP NOUN ADP NOUN AUX VERB ADP NOUN VERB NOUN DET PUNCT
50	Chirwere che korera chinonzi chakatekeshera ku GlenView ne Budiriro pari zvino .	NOUN ADP NOUN VERB VERB ADP PROPN CCONJ PROPN ADV DET PUNCT
51	Dr Manhangazira vanoti zvakakosha kuti vanhu vaite zvehutsanana panguva ino kuita kuti vasatapurirana chirwere ichi kana vachinge vachibata .	NOUN PROPN VERB ADJ DET NOUN VERB ADV NOUN DET VERB DET VERB NOUN DET CCONJ AUX VERB PUNCT
52	Vanoti pane makambani mazhinji ari kubatana ne bazi rezve hutano mukuyedza kurwisa chirwere ichi .	VERB AUX NOUN ADJ AUX VERB ADP NOUN ADP NOUN VERB VERB NOUN DET PUNCT
53	Tiri kufadzwa ne rubatsiro rwatiri kupihwa ne makambani e munyika ne kunze mu kuyedza kurwisa dambudziko re korera , Dr Manhangazira vaudza Studio7 .	AUX VERB ADP NOUN AUX VERB ADP NOUN ADP NOUN ADP NOUN ADP VERB VERB NOUN ADP NOUN PUNCT NOUN PROPN VERB PROPN PUNCT
54	Bazi rezve hutano rinoti mumwe mudzimai we muHarare ane makore makumi maviri ne rimwe okuberekwa akashaya nemusi we Mugovera ne chirwere che Covid19 .	NOUN ADP NOUN VERB DET NOUN ADP PROPN AUX NOUN NUM NUM CCONJ NUM VERB VERB NOUN ADP NOUN ADP NOUN ADP PROPN PUNCT
55	Mudzimai uyu anonzi ainge asina nhoroondo ye kuenda kunze kwe nyika zvinonzi navana chiremba zvinogona kureva kuti chirwere che Covid19 chiri kutenderera mu nharaunda vanhu vasingazvizive .	NOUN DET VERB AUX AUX NOUN ADP VERB ADV ADP NOUN VERB ADP NOUN VERB VERB DET NOUN ADP PROPN AUX VERB ADP NOUN NOUN VERB PUNCT
56	Pave ne vanhu vasere vashaya mu nyika nekuda kwe chirwere ichi .	AUX ADP NOUN NUM VERB ADP NOUN SCONJ ADP NOUN DET PUNCT
57	Huwandu hwe vanhu vabatwa ne chirwere ichi hwakwirawo kusvika pa mazana matanhatu ne makumi mapfumbamwe ne masere kana kuti 698 .	ADV ADP NOUN VERB ADP NOUN DET VERB ADV ADP NUM NUM CCONJ NUM NUM CCONJ NUM CCONJ CCONJ NUM PUNCT
58	Izvi zvinotevera kubatwa kwe vamwe vanhu makumi manomwe ne vatatu ne chirwere ichi ne Mugovera .	DET VERB VERB ADP DET NOUN NUM NUM CCONJ NUM ADP NOUN DET ADP NOUN PUNCT
59	Pa vanhu ava , makumi mashanu ne vashanu kana kuti 55 vakabva ku South Africa , vatatu ku Botswana , vamwe vatatu ku Mozambique , vaviri ku America mumwe chete kubva ku Zambia uye vamwe vasere vakachitapurirwa mu nyika .	ADP NOUN PRON PUNCT NUM NUM CCONJ NUM CCONJ CCONJ NOUN VERB ADP PROPN PROPN PUNCT NUM ADP PROPN PUNCT DET NUM ADP PROPN PUNCT NUM ADP PROPN NUM PRON ADP ADP PROPN CCONJ ADJ NUM VERB ADP NOUN PUNCT
60	Pa vanhu vakabatwa ne chirwere mu nyika vaviri ndivo chete vanozivikanwa kuti vakachiwana sei asi patotanga chipatapata chekutsvaga kuti vamwe vatnhatu vakachiwana sei .	ADP NOUN VERB ADV NOUN ADP NOUN NUM AUX ADV VERB DET VERB SCONJ SCONJ VERB NOUN VERB DET DET NUM VERB ADV PUNCT
61	Vanhu vapora kubva ku chirwere ichi mu nyika i zana ne makumi masere ne mumwe kana kuti 181 .	NOUN VERB ADP VERB NOUN DET ADP NOUN AUX NUM NUM NUM NUM CCONJ NUM CCONJ CCONJ NUM PUNCT
62	Vanhu vavhenekewa chirwere ichi mu nyika vadarika zviuru makumi manomwe ne masere kana kuti 78 000 .	NOUN VERB NOUN DET ADP NOUN AUX NUM NUM NUM CCONJ NUM CCONJ CCONJ NUM NUM PUNCT
63	Kukwira kwe huwandu hwe vanhu vabatwa ne chirwere ichi kuri kuuya apo vashandi vakawanda vemu zvipatara kusanganisira vana chiremba ne vakoti vari kuramwa mabasa vachiti mari yavari kutambiriswa ishoma zvikuru .	VERB ADP NOUN ADP NOUN VERB NOUN NOUN DET AUX VERB ADV NOUN ADJ ADP NOUN SCONJ NOUN NOUN CCONJ NOUN AUX VERB NOUN VERB NOUN AUX VERB ADJ ADV PUNCT
64	Hatina kukwanisa kunzwa kubva ku gurukota rezve hutano Doctor Obadiah Moyo sezvo vasati vapindura mibvunzo yatakavatumira .	AUX VERB VERB ADP ADP NOUN ADP NOUN NOUN PROPN PROPN SCONJ AUX VERB NOUN VERB PUNCT
65	Nyanzvi mu nyaya dzezve hutano Dr Edgar Munatsi vanoti kukwira kwehuwandu hwe vanhu vabatwa ne chirwere ichi ku South Africa avo vanodarika zviuru zana zvine makumi masere ne masere kana kuti 188 000 , zvinhu zvinogona kuipirawo Zimbabwe .	NOUN ADP NOUN ADP NOUN PROPN PROPN PROPN VERB VERB ADP ADP NOUN VERB ADV NOUN DET ADP PROPN PROPN DET ADV NUM NUM SCONJ NUM NUM CCONJ NUM CCONJ CCONJ NUM NUM PUNCT NOUN AUX VERB PROPN PUNCT
66	Vafa mu South Africa vadarika zviuru zvitatu .	VERB ADP PROPN PROPN AUX NUM NUM PUNCT
67	Zvichakadaro , mashoko atumirwa Studio 7 ne African Union achibva ku Africa Centers for Disease Control and Prevention anoratidza kuti vanhu vanodarika zviuru mazana mana ane makumi matanhatu ne vatatu kana kuti 463 , 000 vabatwa ne chirwere che coronavirus mu Africa uye vashaya vadarika zviuru gumi ne rimwe zvine makumi masere ne matanhatu kana kuti 11 , 086 .	ADV PUNCT NOUN VERB PROPN PROPN ADP PROPN PROPN VERB ADP PROPN NOUN ADP NOUN PROPN CCONJ NOUN VERB DET NOUN ADJ NUM NUM NUM AUX NUM NUM CCONJ NUM CCONJ CCONJ NUM PUNCT NUM VERB ADP NOUN ADP PROPN ADP PROPN CCONJ NOUN ADV NUM NUM CCONJ NUM AUX NUM NUM CCONJ NUM CCONJ CCONJ NUM PUNCT NUM PUNCT
68	Vapora vanodarika zviuru mazana maviri ane makumi maviri kana kuti 222 , 000 .	NOUN ADV NUM NUM NUM AUX NUM NUM CCONJ CCONJ NUM PUNCT NUM PUNCT
69	Huwandu hwe vanhu vabatwa ne chirwere che coronavirus pasi rose hwadarika mamiriyoni gumi ne rimwe ane zviuru mazana maviri kana kuti 11 , 2 million .	NOUN ADP NOUN VERB NOUN NOUN ADP PROPN NOUN DET VERB NUM NUM CCONJ NUM AUX NUM NUM NUM CCONJ CCONJ NUM PUNCT NUM NUM PUNCT
70	Johns Hopkins University yemu America iyo iri kuongorora kupararira kwe chirwere ichi pasi rose inoti mu America ndimo mune vanhu vakawandisa vabatwa ne kufa ne chirwere ichi ichiteverwa ne Brazil .	PROPN PROPN NOUN ADP PROPN PRON AUX VERB VERB ADP NOUN DET NOUN DET VERB ADP PROPN AUX AUX NOUN ADJ VERB ADV VERB ADP NOUN DET VERB ADP PROPN PUNCT
71	Vanhu vafa mu America vadarika zviuru zana zvine makumi maviri ne mapfumbamwe kana kuti 129 , 000 , vabatwa ne chirwere ichi vachidarika mamiriyoni maviri ne zviuru mazana masere kana kuti 2 , 8 million .	NOUN VERB ADP PROPN AUX NUM NUM AUX NUM NUM CCONJ NUM CCONJ CCONJ NUM PUNCT NUM PUNCT VERB ADV NOUN DET VERB NUM NUM CCONJ NUM NUM NUM CCONJ CCONJ NUM PUNCT NUM NUM PUNCT
72	Pasi rose vanhu vafa ne chirwere ichi vanodarika zviuru mazana mashanu ne makumi matatu ne rimwe kana kuti 531 , 000 .	NOUN DET NOUN VERB VERB NOUN DET ADV NUM NUM NUM CCONJ NUM NUM CCONJ NUM CCONJ CCONJ NUM PUNCT NUM PUNCT
73	Vapora vachidarika mamiriyoni matanhatu kana kuti 6 million .	VERB VERB NUM NUM CCONJ CCONJ NUM NUM PUNCT
74	Bato re MDC rinoti kuratidzira kwarakaronga kuti kuitwe ne Chishanu kuri kuenderera mberi zvisinei ne mashoko ari kutenderera ekuti kuratidzira uku kwakanzurwa .	NOUN ADP PROPN VERB NOUN PRON DET VERB ADP NOUN AUX VERB ADV SCONJ ADP NOUN AUX VERB ADP NOUN DET VERB PUNCT
75	Vachitaura ne vatori venhau pa muzinda we bato ravo pa Morgan Tsvangirai House , mutauriri we MDC , Va Fortune Daniel Molokele , vati kuratidzira kwavakaronga se bato kuri kuenderera mberi ne Chishanu kunyange hazvo pane vari kutenderedza mashoko pa Whatsapp , Facebook ne Twitter ekuti kuratidzira uku kwakanzurwa .	VERB ADP NOUN ADJ NOUN NOUN ADP NOUN PRON ADP PROPN PROPN NOUN PUNCT NOUN ADP PROPN PUNCT NOUN PROPN PROPN PROPN PUNCT VERB NOUN ADJ CCONJ NOUN AUX VERB ADV ADP NOUN ADV SCONJ AUX AUX VERB NOUN ADP PROPN PUNCT PROPN CCONJ PROPN VERB VERB DET VERB PUNCT
76	Va Molokele vati kuratidzira uku kuchaparurwa mu Harare ne Chishanu kozoenda ku Bulawayo ne Muvhuro , ku Gweru nemusi we Chipiri , ku Kwekwe nemusi we Chitatu uye Mutare nemusi we China .	NOUN PROPN VERB NOUN DET VERB ADP PROPN CCONJ NOUN AUX ADP PROPN ADP NOUN PUNCT ADP PROPN ADP ADP NOUN PUNCT ADP PROPN ADP ADP PROPN CCONJ PROPN ADP ADP NOUN PUNCT
77	Vatizve kuratidzira uku hakusi kuzomira kudzamara zvavari kuda se bato zvazadziswa ne hurumende .	VERB VERB DET AUX VERB VERB AUX VERB NOUN NOUN VERB ADV NOUN PUNCT
78	Izvi zvatsinhirwa ne murongi we misangano mu MDC , Va Amos Chibaya .	DET VERB ADP NOUN ADP NOUN ADP PROPN PUNCT NOUN PROPN PROPN PUNCT
79	MDC inoti pane runyerekupe rwekuti Zanu PF iri kudhinda mbatya dzakafanana ne dzinowanzopfekwa ne vatsigiri ve bato rayo kuti vagozokonzeresa mhirizhonga .	PROPN VERB AUX NOUN PRON PROPN PROPN AUX VERB NOUN ADJ SCONJ ADJ ADV NOUN ADP NOUN DET DET VERB NOUN PUNCT
80	Va Chibaya vati vatora matanho akasimba kuti varatidziri vasaite zve mhirizhonga uye vakurudzira vatsigiri vavo kuti vasapfeke mbatya dze bato sezvo vachiti kuratidzira uku ndekwe zvizvarwa zvese zve Zimbabwe zvakaomerwa ne hupenyu parizvino .	NOUN PROPN VERB AUX NOUN ADJ DET VERB VERB ADP NOUN CCONJ VERB NOUN PRON DET VERB NOUN ADP NOUN SCONJ VERB VERB DET AUX NOUN DET ADP PROPN VERB ADP NOUN ADV PUNCT
81	Vatiwo kuratidzira uku kuchapera chete kana nyaya ye kusamira zvakanaka mune zve hupfumi hwe nyika yagadziriswa pamwe ne nyaya ye gakava rine chekuita ne zvakabuda mu sarudzo dze gore rapera .	VERB VERB DET VERB ADV SCONJ NOUN ADP VERB ADJ AUX NOUN NOUN ADP NOUN VERB CCONJ CCONJ NOUN ADP NOUN AUX NOUN ADP VERB ADP NOUN ADP NOUN ADJ PUNCT
82	Mutungamiri we MDC , Va Nelson Chamisa , vanoti ndivo vakakunda musarudzo dze gore rapera kunyange hazvo komisheni inoona nezve sarudzo ye Zimbabwe Electoral Commission ichiti Va Emmerson Mnangagwa ndivo vakakunda musarudzo idzi izvo zvakatsinhirwa ne dare re Constitutional Court .	NOUN ADP PROPN PUNCT NOUN PROPN PROPN PUNCT VERB AUX VERB NOUN ADP NOUN ADJ ADV SCONJ NOUN ADJ ADP NOUN ADP PROPN NOUN NOUN VERB NOUN PROPN PROPN PRON VERB NOUN DET DET VERB ADV NOUN ADP PROPN NOUN PUNCT
83	Kuratidzira kwakaronga ne MDC uku hakusati kwabvumirwa ne mapurisa asi MDC inoti yakaita zvese zvinodiwa pasi pe bumbiro re mitemo ye nyika pamwe ne mimwe mirawu ye munyika inobata nyaya dze kuratidzira .	NOUN VERB ADV PROPN DET AUX VERB ADV NOUN SCONJ PROPN VERB VERB DET VERB ADP NOUN NOUN NOUN NOUN ADP NOUN CCONJ CCONJ ADV NOUN ADP NOUN VERB NOUN ADP VERB PUNCT
84	Zvichakadaro , nhengo ye sangano rinorwira kodzero dze vanhu re Citizens Manifesto , Va Tatenda Mombeyarara , vanonzi vakapambwa ne Chipiri husiku pamba ne vanofungidzirwa kuti vakasiya vakandwa ku Hatfield mushure mekuzvindikitwa zvakaomarara .	ADV PUNCT NOUN ADP NOUN ADJ NOUN ADP NOUN ADP PROPN NOUN PUNCT NOUN PROPN PROPN PUNCT VERB VERB ADP NOUN NOUN ADV SCONJ ADJ DET VERB VERB ADP PROPN ADP VERB ADJ PUNCT
