text	target	condition
ỤKỌCHUKWU St . Jude Thaddeus Catholic Church , Inoma , nke di na mpaghara Anambra West’ nke Anambra Steeti , Rev .	NOUN NOUN PUNCT PROPN PROPN NOUN NOUN PUNCT PROPN PUNCT DET VERB ADP NOUN PROPN PROPN ADP PROPN NOUN PUNCT NOUN PUNCT	ibo
Fr . Charles Chukwukelue Ebele , ka ekwuru na ndụ ya funarịrị ya na ihe mberede ụgbọ mmiri .	NOUN PUNCT PROPN PROPN PROPN PUNCT ADP VERB SCONJ NOUN PRON VERB PRON ADP NOUN NOUN NOUN NOUN PUNCT	ibo
Onye hụrụ mgbe ihe mberede a mere bụ Azubuike Okwuoto Imoka , kwuru na enyị ụkọchukwu na ya onwe ya nọkwazi na ụgbọ ahụ mgbe ihe mberede a mere mana n’ ihi na ọ nyere enyị ya life jacket’ , o wee bụrụ onye na enwetaghị enyemaka mgbe ụgbọ a kpuru .	NOUN VERB ADV NOUN NOUN DET VERB VERB PROPN PROPN PROPN PUNCT VERB CCONJ NOUN NOUN CCONJ PRON NOUN PRON VERB ADP NOUN DET ADV NOUN NOUN DET VERB SCONJ ADP ADP ADP PRON VERB NOUN PRON NOUN NOUN PUNCT PRON VERB VERB NOUN ADP VERB NOUN ADV NOUN DET VERB PUNCT	ibo
Ndị Anambra State Emergency Agency' SEMA , ka agwara maka ihe mberede a dịka ndị isi kwuru na ha ga- eme ihe ọbụla ha ga- eme iji wee bute ozu ya .	DET PROPN NOUN NOUN NOUN PROPN PUNCT ADP VERB ADP NOUN NOUN DET ADP DET NOUN VERB CCONJ PRON AUX VERB NOUN DET PRON AUX VERB VERB VERB VERB NOUN PRON PUNCT	ibo
OTU na- ekwuru ndị onweghị onye na- ekwuru ha , ndị nke a maara dịka Human Diginity Restoration Association HDRA ekwela nkwa ịhazị ikpe n’ efu maka ndị nga mmadụ asaa n’ ụlọmkpọrọ dị n’ Onitsha na steeti Anambra .	NOUN AUX VERB DET VERB NOUN AUX VERB PRON PUNCT PRON DET PRON VERB ADP NOUN NOUN NOUN NOUN PROPN VERB NOUN VERB NOUN ADP NOUN ADP DET NOUN NOUN NUM ADP NOUN VERB ADP PROPN ADP NOUN PROPN PUNCT	ibo
Ndị otu a kwuru na ihe kpalitere ha ime nke a bụ n’ ihi ụfọdụ ndị nga bụ ndị a na- atụkpu ma gbahapụ n’ enweghị onye ọ bụna na- abịa maka ịgbapụta ha afọ kwuru afọ .	DET NOUN DET VERB CCONJ NOUN VERB PRON VERB PRON DET VERB ADP ADP DET DET NOUN VERB PRON PRON AUX VERB CCONJ VERB ADP VERB NOUN PRON DET AUX VERB ADP VERB PRON NOUN ADP NOUN PUNCT	ibo
Ọ kpọrọ aha otu onye n’ ime ndị nga ahụ dịka Onyebuchi Onyema , onye nke si steeti Abia , bụ onye nke a tụkpuru n’ ihi ohi ịgbawa ụzọ burglary’ .	PRON VERB NOUN NUM NOUN ADP NOUN DET NOUN DET ADP PROPN PROPN PUNCT NOUN DET VERB NOUN PROPN PUNCT VERB NOUN DET PRON VERB ADP ADP NOUN VERB NOUN NOUN PUNCT	ibo
Achebe rụtụrụ aka na oge ikpeazu ya bụ onye nga pụtara n’ ụlọikpe bụ n’ ọnwa Aprel 2016 ; ebe Abraham Okeke , onye Obosi , nke dị n’ okpuru ọchịchị Idemmiri North na steeti Anambra , bụ onye nke a tụpkuru n’ ihi igwu wayo Advanced Fee Fraud 419 bịara ikpeazu n’ ụlọikpe n’ ọnwa Ọgọstụ 2015 .	PROPN VERB NOUN ADP NOUN NOUN PRON VERB NOUN NOUN VERB ADP NOUN VERB ADP NOUN PROPN NUM PUNCT NOUN PROPN PROPN PUNCT NOUN PROPN PUNCT DET VERB ADP NOUN NOUN PROPN PROPN ADP NOUN PROPN PUNCT VERB NOUN DET PRON VERB ADP ADP VERB NOUN ADJ ADJ NOUN NUM VERB NOUN ADP NOUN ADP NOUN PROPN NUM PUNCT	ibo
ONYE isi ụlọakwụkwọ Migrant Farmers Children School , Aguibeje , Enugu Ezike na steeti Enugu bụ Nathaniel Idoko , abụrụla onye e nyere oche azụ n’ ọlụ site n’ aka ndị na- ahụ maka agụmakwụkwọ Enugu State Universal Basic Education Board ENSUBEB , maka ịdakpo na imetọ ụmụakwụkwọ ụmụnwanyị anọ n’ ụlọakwụkwọ ya .	NOUN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT PROPN PUNCT PROPN PROPN ADP NOUN PROPN VERB PROPN PROPN PUNCT VERB NOUN PRON VERB NOUN NOUN ADP NOUN ADP ADP NOUN PRON AUX VERB ADP NOUN PROPN NOUN ADJ ADJ NOUN NOUN PROPN PUNCT ADP VERB CCONJ VERB NOUN NOUN NUM ADP NOUN PRON PUNCT	ibo
A nọkwazịrị na mmemme ahụ kesàá akwụkwọ bànyere mkparịta ụbụbọ na nkwekọrịta dị iche iche e nwere na nzùkọ ahụ n’ etiti steeti abụọ ahụ .	PRON VERB ADP NOUN DET VERB NOUN ADP NOUN NOUN CCONJ NOUN VERB ADJ ADJ PRON VERB ADP NOUN DET ADP NOUN NOUN NUM DET PUNCT	ibo
Ọ bụ n’ ọnwa Ọgọstụ ka Idoko , onye nke gbara afọ iri ise jiri aghụghọ kpọrọ ụmụaka anọ nọ n’ ụlọakwụkwọ ya bụ ndị dị agbata afọ anọ ruo n’ afọ isii , wee baa n’ ime ọhịa ebe ọ nọ wee metọọ ha .	PRON VERB ADP NOUN PROPN ADP PROPN PUNCT NOUN DET VERB NOUN NUM NUM VERB NOUN VERB NOUN NUM VERB ADP NOUN PRON VERB PRON VERB NOUN NOUN NUM VERB ADP NOUN NUM PUNCT SCONJ VERB ADP NOUN NOUN NOUN PRON VERB VERB VERB PRON PUNCT	ibo
Onye isi oche otu ENSUBEB bụ Ikeje Asogwa , kwuru sị ; “ anyị enyela ya oche azụ n’ ọlụ , e nwekwara ike ịchụ ya achụ .	NOUN NOUN NOUN NOUN PROPN VERB PROPN PROPN PUNCT VERB VERB PUNCT PUNCT PRON VERB PRON NOUN NOUN ADP NOUN PUNCT PRON VERB NOUN VERB PRON PART PUNCT	ibo
Ọ bụ ihe ihere site n’ aka onye kwesiri ichekwa ụmụaka ahụ .	PRON VERB NOUN NOUN ADP ADP NOUN NOUN VERB VERB NOUN DET PUNCT	ibo
Anyị anaghị anabata ụdị agwa a . ”	PRON AUX VERB ADJ NOUN DET PUNCT PUNCT	ibo
N’ otu aka ahụkwa , onye kọmishọna na- ahụ maka agụmakwụkwọ na steeti ahụ bụ Ọkammụta Pat Eze kwuru na ya bụ ihe bụ arụ nke kwesịrị ntaramahụhụ .	ADP NUM NOUN DET PUNCT NOUN NOUN AUX VERB ADP NOUN ADP NOUN DET VERB NOUN PROPN PROPN VERB CCONJ PRON VERB NOUN VERB NOUN PRON VERB NOUN PUNCT	ibo
Ọ gara n’ ihu kwuo na ntị anụbeghị ụdị ihe dị otu ahụ .	PRON VERB ADP NOUN VERB CCONJ NOUN VERB ADJ NOUN VERB ADV DET PUNCT	ibo
Ọ bụ otu onye nne ụmụaka ahụ Idoko metọrọ chọpụtara nke a nke mere ka ụwa mata arụ ahụ .	PRON VERB NUM NOUN NOUN NOUN DET PROPN VERB VERB PRON DET PRON VERB ADP NOUN VERB NOUN DET PUNCT	ibo
Nwanyị ahụ ka a kọwara na ọ hụrụ ọbara n’ ihe nwa ya jiri bụrụ nwanyị nke mere ka ọ jụba nwa ya ihe merenụ .	NOUN DET ADP PRON VERB CCONJ VERB VERB NOUN ADP NOUN NOUN PRON VERB VERB NOUN DET VERB ADP PRON VERB NOUN PRON NOUN VERB PUNCT	ibo
Nwatakiri ahụ kọọrọ nne ya otu onye isi ụlọakwụkwọ ha siri kpọrọ ha baa n’ ime ọhịa ebe ọ nọrọ wee metọọ ha ma kwe ha nkwa izụtara ha ihe na ime ka ha gbaa ndị mbụ na klassị ha dị iche iche nke ga- eme ka ha gaa ibe ha .	NOUN DET VERB NOUN PRON ADV NOUN NOUN NOUN PRON VERB VERB PRON VERB ADP NOUN NOUN NOUN PRON VERB VERB VERB PRON CCONJ VERB PRON NOUN VERB PRON NOUN CCONJ VERB ADP PRON VERB PRON ADJ ADP NOUN PRON VERB ADJ ADJ DET AUX VERB ADP PRON VERB NOUN PRON PUNCT	ibo
O kwuru na ụlọakụ a bụ otu n’ ime ihe mmemme atọ nke ngalaba ọlụ ugbo SME nke gọọmenti steeti ahụ kwadoolu site n’ aka ndị Central Bank of Nigeria’ .	PRON VERB CCONJ NOUN DET VERB NUM ADP NOUN NOUN NOUN NUM DET NOUN NOUN NOUN PROPN ADP NOUN NOUN DET VERB ADP ADP NOUN DET ADJ NOUN ADP PROPN PUNCT	ibo
Kọmishona kọwara na gọọmentị , site n’ ọba ego , nyere ngalaba SME ndị ọzọ ego ka ha nwee ike ịgbazite ego bụ nke enweghị ike igbazite na Commercial Banks’ .	NOUN VERB CCONJ NOUN PUNCT ADP ADP NOUN NOUN PUNCT VERB NOUN PROPN PRON ADJ NOUN ADP PRON VERB NOUN VERB NOUN VERB DET VERB NOUN VERB ADP ADJ NOUN PUNCT	ibo
O kwuru sị , n’ ọnwa Okutoba , anyi ga emecha ihe nile anyi kwesịrị ime , iji hụ na emepere ụlọakụ SME microfinance’ .	PRON VERB VERB PUNCT ADP NOUN PROPN PUNCT PRON AUX VERB NOUN DET PRON VERB VERB PUNCT VERB VERB CCONJ VERB NOUN PROPN NOUN PUNCT	ibo
Gọvanọ ebinyela aka n’ akwụkwọ ma nyekwa nkwado ya ilụ ya bụ ụlọakụ .	NOUN VERB NOUN ADP NOUN CCONJ VERB NOUN PRON VERB PRON VERB NOUN PUNCT	ibo
Anyi a gaala CBN ma anyi ahụla ihe nile ekwesiri ime .	PRON PRON VERB PROPN CCONJ PRON VERB NOUN DET VERB VERB PUNCT	ibo
“ Taa Uche Nwosu bụ onye isi ndị ọlụ Chief of staff , ana m ekpe ekpere na otu ụbọchị , aga m ekwe gị n’ aka dịka gọvanọ nke Imo steeti . ”	PUNCT NOUN PROPN PROPN VERB NOUN NOUN DET NOUN NOUN ADP NOUN PUNCT AUX PRON VERB NOUN CCONJ NUM NOUN PUNCT AUX PRON VERB PRON ADP NOUN ADP NOUN ADP PROPN NOUN PUNCT PUNCT	ibo
“ Aga m aluzi ụlọakwụkwọ nile na steeti a , a na m emekwara ọtụtụ n’ ime unu ebere bụ ndị kwuru na m emebisiela ụzọ nile .	PUNCT AUX PRON VERB NOUN DET ADP NOUN DET PUNCT PRON AUX PRON VERB DET ADP NOUN PRON NOUN VERB PRON VERB CCONJ PRON VERB NOUN DET PUNCT	ibo
Ọ bụ maka mmiri ozuzo mmadu agaghị akọwanwu .	PRON VERB ADP NOUN NOUN NOUN AUX VERB PUNCT	ibo
“ Ọ ka na agbagwoju m anya ma mmiri a ọ bụ ịhe mmerụ ahụ asiidi . A na m ekwe unu nkwa na- aga ahazi ịhe ndi a nile .	PUNCT PRON ADP AUX VERB PRON NOUN CCONJ NOUN PRON DET VERB NOUN NOUN NOUN NOUN PUNCT PRON AUX PRON VERB PRON NOUN AUX AUX VERB NOUN PRON DET DET PUNCT	ibo
Ịhe m na- eme bụ ka m tọọ ntoala nyere gọvanọ ọ bụla ga abata na Imo steeti ” .	NOUN PRON AUX VERB VERB ADP PRON VERB NOUN VERB NOUN PRON DET AUX VERB ADP PROPN NOUN PUNCT PUNCT	ibo
Ndị eze iri abụọ na anọ n’ okpuru ọchịchị Oguta , na steeti Imo , ebinyela aka ịkwụsị ihe a kpọrọ osu iji wee zọpụta ndị nke a metụtara site na mkpachapụ .	DET NOUN NUM NUM CCONJ NUM ADP NOUN NOUN PROPN PUNCT ADP NOUN PROPN PUNCT VERB NOUN VERB NOUN PRON VERB NOUN VERB VERB VERB PRON DET DET VERB ADP ADP NOUN PUNCT	ibo
Ya bụ ihe nke dịbara gboo gboo bụ nke a maara n’ ọtụtụ akụkụ ala Igbo dịka osu , ohu , ume , ebe a na- ewe ụfọdụ na ọ bụ ndị mmadụ ma ọ bụ alụsị nwe ha .	PRON VERB NOUN DET VERB ADV ADV VERB PRON PRON VERB ADP DET NOUN NOUN PROPN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PRON AUX VERB DET CCONJ PRON VERB DET NOUN CCONJ PRON VERB NOUN VERB PRON PUNCT	ibo
Ọ dụkwara ndị nne na nna ọdụ ka uche ha dị ya , ka ha na- eleru anya wee mara ihe ha na- eme .	PRON VERB DET NOUN CCONJ NOUN NOUN ADP NOUN PRON VERB PRON PUNCT ADP PRON AUX VERB NOUN VERB VERB NOUN PRON AUX VERB PUNCT	ibo
Nwata nwanyị ahụ bụ nwa akwụkwọ primary’ nke isii , bụ onye dị ime ọnwa ise na izuụka abụọ ugbua .	NOUN NOUN DET VERB NOUN NOUN NOUN DET NUM PUNCT VERB NOUN VERB NOUN NOUN NUM CCONJ NOUN NUM ADV DET	ibo
Nne na nna ha mụtara ha atọ , ya bụ nke izizi .	NOUN CCONJ NOUN PRON VERB PRON NUM PUNCT PRON VERB DET ADJ PUNCT	ibo
Ka ọ dị ugbua , ọ nọzị n’ aka nchekwa nke ngalaba na- ahụ maka ọdị mma ụmụnwanyị Ministry of Women Affairs and Social Development’ maka ileta ya anya nke ọma .	SCONJ PRON VERB ADV PUNCT PRON VERB ADP NOUN NOUN ADP NOUN AUX VERB ADP NOUN NOUN NOUN NOUN ADP NOUN NOUN CCONJ ADJ NOUN ADP VERB PRON NOUN DET ADJ PUNCT	ibo
Justice E .	NOUN PROPN PUNCT	ibo
Eradiri , bụ onye lebara ya bụ ikpe anya mara Olama ikpe maka ịgbu ya bụ nwata nwoke ka ọnwa Ọgọstụ dị na mkpụrụbọchị iri na asatọ n’ afọ 2016 , n’ Okada , nke dị na Yenagoa , bụ isi steetị ahụ .	PROPN PUNCT VERB NOUN VERB PRON VERB NOUN NOUN VERB PROPN NOUN ADP VERB PRON VERB NOUN NOUN ADP NOUN PROPN VERB ADP NOUN NUM CCONJ NUM ADP NOUN NUM PUNCT ADP PROPN PUNCT DET VERB ADP PROPN PUNCT VERB NOUN NOUN DET PUNCT	ibo
Dịka o si kọwaa , onye na ekwuru ndị nyere mkpesa kpọtara ndị akaebe iri ma nwekwaa ihe ngosi exhibits iri na isii iji kwado ihe ọ na- ekwu , ebe onye na- azọ onye eboro ebubo nwere sọọsọ otu onye aka ebe nke bụ ya bụ onye e boro ebubo .	SCONJ PRON VERB VERB PUNCT NOUN AUX VERB DET VERB NOUN VERB DET NOUN NUM CCONJ VERB NOUN NOUN VERB NUM CCONJ NUM VERB VERB NOUN PRON AUX VERB PUNCT NOUN NOUN AUX VERB NOUN VERB NOUN VERB DET NUM NOUN NOUN NOUN PRON VERB PRON VERB NOUN PRON VERB NOUN PUNCT	ibo
Nna onye nwụrụ anwụ bụ Daniel Kokorifa bụ onye ọlụ nchekwa okporoụzọ Federal Road Safety Corps FRSC kwuru na obi dị ya ụtọ otu e si bie ikpe nke nọgoro karia afọ abụọ .	NOUN NOUN VERB PART VERB PROPN PROPN VERB NOUN NOUN NOUN NOUN ADJ NOUN NOUN NOUN PROPN VERB CCONJ NOUN VERB PRON NOUN ADV PRON VERB VERB NOUN PRON VERB VERB NOUN NUM PUNCT	ibo
O kwuru na ụwa amatala na aka nwa ya dị ọcha .	PRON VERB CCONJ NOUN VERB CCONJ NOUN NOUN PRON VERB ADJ PUNCT	ibo
Ha jikwara ohere ahụ wee too ndị ndu dị iche iche bụ ndị gbatara ndị gbapụrụ n’ obodo ha na mba ụwa dị iche iche maka nsogbu ọsọ enyemaka .	PRON VERB NOUN DET VERB VERB DET NOUN VERB ADJ ADJ VERB PRON VERB DET VERB ADP NOUN PRON ADP NOUN NOUN VERB ADJ ADJ ADP NOUN NOUN NOUN PUNCT	ibo
Akira Furusho , bụ onye ahụ nwụrụ anwụ nke gbara afọ iri anọ , bụ onye achọpụtara na ọ na- agba ọbara n’ olu	PROPN PROPN PUNCT VERB NOUN DET VERB PART DET VERB NOUN NUM NUM PUNCT VERB NOUN VERB CCONJ PRON AUX VERB NOUN ADP NOUN	ibo
Nkwanye ugwu a , nke a kpọrọ Media Icon Award’ , bụ nke ha kpebiri inye ya maka mbọ ya nile n’ ọlụ mgbasa ozi .	NOUN NOUN DET PUNCT PRON PRON VERB NOUN NOUN NOUN PUNCT VERB DET PRON VERB VERB PRON ADP NOUN PRON DET ADP NOUN NOUN NOUN PUNCT	ibo
“ Otu osisi anaghị emebe ọhịa .	PUNCT NUM NOUN AUX VERB NOUN PUNCT	ibo
Dịka anyị na- akwanyere onye isi ụlọ ọlụ a ugwu , anyị echefughị ndị ọlụ ya maka mbọ ndị ha na- agba . ”	SCONJ PRON AUX VERB NOUN NOUN NOUN NOUN DET NOUN PUNCT PRON VERB DET NOUN PRON ADP NOUN DET PRON AUX VERB PUNCT PUNCT	ibo
Sir Nnabuife , n’ akụkụ nke ya , kelere ha : “ Daalu nụ ! Obi bụ m sọ añụri .	NOUN PROPN PUNCT ADP NOUN DET PRON PUNCT VERB PRON PUNCT PUNCT NOUN PART PUNCT NOUN VERB PRON DET NOUN PUNCT	ibo
Atụbaghị m anya mana ama m na ihe nile na- aga dịka Chukwu siri kwado ya .	VERB PRON NOUN ADP VERB PRON CCONJ NOUN DET AUX VERB ADP PROPN VERB VERB PRON PUNCT	ibo
Ihe ọbụna bụ ebumnobi unu ga- abịa na mmezu “ ka Chineke na- enyewanye anyị ike ka anyi ghara ịgharịpụ unu . ”	NOUN DET VERB NOUN PRON AUX VERB ADP NOUN PUNCT ADP PROPN AUX VERB PRON NOUN ADP PRON VERB VERB PRON PUNCT PUNCT	ibo
Ụmụakwụkwọ nile bịara ije a ji añụri kelee ndị ọlụ ANPC nile bụ ndị nke ha kọwara dịka otu ezinaụlọ .	NOUN DET VERB NOUN DET VERB NOUN VERB DET NOUN PROPN DET VERB PRON DET PRON VERB ADP NUM NOUN PUNCT	ibo
Ha bụ Nwagbo Miracle , Onwudinjo Peace , Anene Chinaza Peace , Tochukwu Godswill , Anikweze Anthony na onye isi ha SUG President’ bụ Igwebuike Ikenna .	PRON VERB PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN PUNCT PRON PRON PUNCT PROPN PROPN CCONJ NOUN NOUN PRON PROPN NOUN VERB PROPN PROPN PUNCT	ibo
Fr’ .	NOUN PUNCT	ibo
Echezona bụ Vicar’ izizi lụlụ ọlụ na St Gabriel’ , Okpuno .	PROPN VERB NOUN ADJ VERB VERB ADP NOUN PROPN PUNCT PROPN PUNCT	ibo
Ebe ahụ bụkwa ebe izizi ọlụlụ ọlụ ka e chichara ya ụkọchukwu .	NOUN DET VERB NOUN ADJ VERB NOUN ADP PRON VERB PRON NOUN PUNCT	ibo
O kelere Chineke n’ ịsi mmmadụ nile ma kwuo n’ ọnụnọ ọ nọrọ na St Gabriel’ , Ọkpụnọ bụ ịhe inye chineke ekene .	PRON VERB PROPN ADP NOUN NOUN DET CCONJ VERB ADP NOUN PRON VERB ADP NOUN PROPN PUNCT PROPN VERB NOUN VERB PROPN VERB PUNCT	ibo
Rev Fr’ .	NOUN NOUN PUNCT	ibo
John Oraemesi kọwara Fr . Echezona dịka onye nwere nsọpụrụ n’ ebe ndị isi ya nọ ma kwukwa na ọ dị uchu n’ ọlụ .	PROPN PROPN VERB NOUN PUNCT PROPN ADP NOUN VERB NOUN ADP NOUN DET NOUN PRON VERB CCONJ VERB CCONJ PRON VERB NOUN ADP NOUN PUNCT	ibo
Onye nkuzi ụka , Mazị Charles Nwuba kwukwara okwu ọma n’ isi Fr . Echezona .	NOUN NOUN NOUN PUNCT NOUN PROPN PROPN VERB NOUN ADJ ADP NOUN NOUN PUNCT PROPN PUNCT	ibo
Otu onye ukwe bụ Elizabeth Ilonwa kọwara ya dịka egbe ọkụ matches’ n’ ihi na o kwuru na ọ na- enwu ọkụ vam ka egbe ọkụ .	NUM NOUN NOUN VERB PROPN PROPN VERB PRON ADP NOUN NOUN NOUN ADP ADP ADP PRON VERB CCONJ PRON AUX VERB NOUN ADV ADP NOUN NOUN PUNCT	ibo
Mmadụ dịka Oriaku Lucy Okere na ọtụtụ ndị ọzọ gụnyere ụmụaka , ndị ntorobịa na ndị nne na nna toro Chineke maka Fr . Echezona .	NOUN ADP NOUN PROPN PROPN CCONJ DET PRON ADJ VERB NOUN PUNCT DET NOUN CCONJ DET NOUN CCONJ NOUN VERB PROPN ADP NOUN PUNCT PROPN PUNCT	ibo
N’ okwu ya dịka ọ na- enye ya nkwanye ùgwù ahụ , onyeisi ndị òtù ahụ , bụ Maazị Godwin Nnanna , tòrò ya bụ gọvanọ n’ ihi ihe dị iche iche o mepụtagoro nà mbọ pụtara ìhè ọ gbagoro iji gosi na ezi ọchịchị bụ ihe kwere omume n’ ala Nigeria .	ADP NOUN PRON ADP PRON AUX VERB PRON NOUN NOUN DET PUNCT NOUN DET NOUN DET PUNCT VERB NOUN PROPN PROPN PUNCT VERB PRON VERB NOUN ADP ADP ADP VERB ADJ ADJ PRON VERB CCONJ NOUN VERB NOUN PRON VERB VERB VERB CCONJ ADJ NOUN VERB NOUN VERB NOUN ADP NOUN PROPN PUNCT	ibo
Innocent na mmadụ atọ ndị ọzọ bụ Ekendu Chidiebere , Tochukwu Samuel na Ikechukwu Nwankwo gbara izu ime ihe ọjọọ ahụ .	PROPN CCONJ NOUN NUM PRON ADJ VERB PROPN PROPN PUNCT PROPN PROPN CCONJ PROPN PROPN VERB NOUN VERB NOUN ADJ DET PUNCT	ibo
Ozi e nwetara n’ aka ndị uweojii kọwara na ndị ntọrị ahụ bụ ndị nọzi na Force Headquarters’ , Abuja , bụ ndị e jidere n’ ihi nkpesa nke otu onye ikwu na ibe nwanyị ahụ bụ Agnes Semion kpesaara onye isi ndị uweojii bụ Ibrahim Idris .	NOUN PRON VERB ADP NOUN DET NOUN VERB CCONJ DET NOUN DET VERB PRON VERB ADP NOUN NOUN PUNCT PROPN PUNCT VERB PRON PRON VERB ADP ADP NOUN ADP NUM NOUN VERB CCONJ NOUN NOUN DET VERB PROPN PROPN VERB NOUN NOUN DET NOUN VERB PROPN PROPN PUNCT	ibo
Otu onye kọkwara na Innocent bụ onye nke e buuru ya na nwanyị ahụ wee pụọ ụbochị a tọọrọ ya n’ Aparazu Ogwu na steeti Abia maara ụzọ ya bụ mmiri siri baa n’ opi ụgbogụrụ .	PUNCT NOUN VERB CCONJ PROPN VERB NOUN DET PRON VERB PRON CCONJ NOUN DET VERB VERB NOUN PRON VERB PRON ADP PROPN PROPN ADP NOUN PROPN VERB NOUN PRON VERB NOUN VERB VERB ADP NOUN NOUN PUNCT	ibo
Innocent kwuru na iwe ya bụ ka ọ napụta nwanyị ahụ ego , ya na ka o wee taa enyi ya nwanyị ahụhụ maka iso nwoke ọzọ ,	PROPN VERB CCONJ NOUN PRON VERB ADP PRON VERB NOUN DET NOUN PUNCT PRON CCONJ ADP PRON VERB VERB NOUN PRON NOUN NOUN ADP VERB NOUN ADJ PUNCT	ibo
